mpid	firstname	surname	party
40066	Bob	Stewart	Con
40404	Iain	Stewart	Con
40477	Rory	Stewart	Con
40090	Jack	Straw	Lab
40558	Gary	Streeter	Con
40155	Mel	Stride	Con
40091	Graham	Stringer	Lab
40080	Gisela	Stuart	Lab
40076	Graham	Stuart	Con
40307	Andrew	Stunell	LDem
40683	Julian	Sturdy	Con
40109	Gerry	Sutcliffe	Lab
40494	Ian	Swales	LDem
40416	Desmond	Swayne	Con
40225	Jo	Swinson	LDem
40224	Hugo	Swire	Con
40483	Robert	Syms	Con
40042	Mark	Tami	Lab
40377	Peter	Tapsell	Con
40113	Sarah	Teather	LDem
40301	Gareth	Thomas	Lab
40335	Emily	Thornberry	Lab
40697	Mike	Thornton	LDem
40138	John	Thurso	LDem
40226	Stephen	Timms	Lab
40189	Edward	Timpson	Con
40446	Justin	Tomlinson	Con
40104	David	Tredinnick	Con
40309	Jon	Trickett	Lab
40560	Elizabeth	Truss	Con
40333	Andrew	Turner	Con
40344	Karl	Turner	Lab
40294	Derek	Twigg	Lab
40373	Stephen	Twigg	Lab
40166	Andrew	Tyrie	Con
40588	Chuka	Umunna	Lab
40670	Paul	Uppal	Con
40631	Edward	Vaizey	Con
40450	Shailesh	Vara	Con
40358	Keith	Vaz	Lab
40628	Valerie	Vaz	Lab
40176	Martin	Vickers	Con
40169	Theresa	Villiers	Con
40129	Charles	Walker	Con
40671	Robin	Walker	Con
40677	Ben	Wallace	Con
40582	Joan	Walley	Lab
40432	Robert	Walter	Con
40108	David	Ward	LDem
40320	Angela	Watkinson	Con
40646	Tom	Watson	Lab
40570	Dave	Watts	Lab
40324	Mike	Weatherley	Con
40606	Steve	Webb	LDem
40044	Michael	Weir	SNP
40580	James	Wharton	Con
40542	Heather	Wheeler	Con
40635	Chris	White	Con
40054	Eilidh	Whiteford	SNP
40564	Alan	Whitehead	Lab
40139	Craig	Whittaker	Con
40385	John	Whittingdale	Con
40191	Malcolm	Wicks	Lab
40442	Bill	Wiggin	Con
40305	David	Willetts	Con
40045	Hywel	Williams	PC
40157	Mark	Williams	LDem
40112	Roger	Williams	LDem
40125	Stephen	Williams	LDem
40201	Chris	Williamson	Lab
40553	Gavin	Williamson	Con
40145	Jennifer	Willott	LDem
40521	Phil	Wilson	Lab
40492	Rob	Wilson	Con
40223	Sammy	Wilson	DUP
40627	David	Winnick	Lab
40207	Rosie	Winterton	Lab
40478	Pete	Wishart	SNP
40614	Sarah	Wollaston	Con
40063	Mike	Wood	Lab
40058	John	Woodcock	Lab
40571	Shaun	Woodward	Lab
40467	Phil	Woolas	Lab
40601	David	Wright	Lab
40302	Iain	Wright	Lab
40339	Jeremy	Wright	Con
40459	Simon	Wright	LDem
40554	Tim	Yeo	Con
40452	George	Young	Con
40587	Nadhim	Zahawi	Con
